,yyyymmxx,"螺纹钢（Φ16-25mm,HRB400）_GR","线材（Φ6.5mm,HPB300）_GR","普通中板（20mm,Q235）_GR","热轧普通薄板（3mm,Q235）_GR","无缝钢管（219*6,20#）_GR",角钢（5#）_GR,电解铜（1#）_GR,铝锭（A00）_GR,铅锭（1#）_GR,锌锭（0#）_GR,硫酸（98%）_GR,烧碱(液碱，32%)_GR,甲醇（优等品）_GR,纯苯（石油苯，工业级）_GR,苯乙烯（一级品）_GR,聚乙烯（LLDPE，7042）_GR,聚丙烯（T30S）_GR,聚氯乙烯（SG5）_GR,顺丁胶（BR9000）_GR,涤纶长丝（FDY150D/96F）_GR,液化天然气（LNG）_GR,液化石油气（LPG）_GR,汽油（97#）_GR,汽油（93#）_GR,柴油（0#）_GR,石蜡（58#半）_GR,无烟煤（2号洗中块）_GR,普通混煤（4500大卡）_GR,山西大混（5000大卡）_GR,山西优混（5500大卡）_GR,大同混煤（5800大卡）_GR,焦煤（1/3焦煤）_GR,焦炭（二级冶金焦）_GR,复合硅酸盐水泥（P.C 32.5袋装）_GR,普通硅酸盐水泥（P.O 42.5散装）_GR,浮法平板玻璃（4.8/5mm）_GR,稻米（粳稻米）_GR,小麦（国标三等）_GR,玉米（黄玉米二等）_GR,棉花（皮棉，白棉三级）_GR,生猪（外三元）_GR,大豆（黄豆）_GR,豆粕（粗蛋白含量≥43%）_GR,花生（油料花生米）_GR,尿素（小颗料）_GR,复合肥（硫酸钾复合肥）_GR,农药(草甘膦，95%原药）_GR,人造板（1220*2440*15mm）_GR,纸浆（漂白化学浆）_GR,瓦楞纸（高强）_GR
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141001,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,20141201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,20141202,,20141202,,,,,,20141202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,20141203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,20150102,,,,,,,,,,,,,,,,,,20150102,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
