,yyyymmxx,"螺纹钢（Φ16-25mm,HRB400）","线材（Φ6.5mm,HPB300）","普通中板（20mm,Q235）","热轧普通薄板（3mm,Q235）","无缝钢管（219*6,20#）",角钢（5#）,电解铜（1#）,铝锭（A00）,铅锭（1#）,锌锭（0#）,硫酸（98%）,烧碱(液碱，32%),甲醇（优等品）,纯苯（石油苯，工业级）,苯乙烯（一级品）,聚乙烯（LLDPE，7042）,聚丙烯（T30S）,聚氯乙烯（SG5）,顺丁胶（BR9000）,涤纶长丝（FDY150D/96F）,液化天然气（LNG）,液化石油气（LPG）,汽油（97#）,汽油（93#）,柴油（0#）,石蜡（58#半）,无烟煤（2号洗中块）,普通混煤（4500大卡）,山西大混（5000大卡）,山西优混（5500大卡）,大同混煤（5800大卡）,焦煤（1/3焦煤）,焦炭（二级冶金焦）,复合硅酸盐水泥（P.C 32.5袋装）,普通硅酸盐水泥（P.O 42.5散装）,浮法平板玻璃（4.8/5mm）,稻米（粳稻米）,小麦（国标三等）,玉米（黄玉米二等）,棉花（皮棉，白棉三级）,生猪（外三元）,大豆（黄豆）,豆粕（粗蛋白含量≥43%）,花生（油料花生米）,尿素（小颗料）,复合肥（硫酸钾复合肥）,农药(草甘膦，95%原药）,人造板（1220*2440*15mm）,纸浆（漂白化学浆）,瓦楞纸（高强）,"螺纹钢（Φ16-25mm,HRB400）_GR","线材（Φ6.5mm,HPB300）_GR","普通中板（20mm,Q235）_GR","热轧普通薄板（3mm,Q235）_GR","无缝钢管（219*6,20#）_GR",角钢（5#）_GR,电解铜（1#）_GR,铝锭（A00）_GR,铅锭（1#）_GR,锌锭（0#）_GR,硫酸（98%）_GR,烧碱(液碱，32%)_GR,甲醇（优等品）_GR,纯苯（石油苯，工业级）_GR,苯乙烯（一级品）_GR,聚乙烯（LLDPE，7042）_GR,聚丙烯（T30S）_GR,聚氯乙烯（SG5）_GR,顺丁胶（BR9000）_GR,涤纶长丝（FDY150D/96F）_GR,液化天然气（LNG）_GR,液化石油气（LPG）_GR,汽油（97#）_GR,汽油（93#）_GR,柴油（0#）_GR,石蜡（58#半）_GR,无烟煤（2号洗中块）_GR,普通混煤（4500大卡）_GR,山西大混（5000大卡）_GR,山西优混（5500大卡）_GR,大同混煤（5800大卡）_GR,焦煤（1/3焦煤）_GR,焦炭（二级冶金焦）_GR,复合硅酸盐水泥（P.C 32.5袋装）_GR,普通硅酸盐水泥（P.O 42.5散装）_GR,浮法平板玻璃（4.8/5mm）_GR,稻米（粳稻米）_GR,小麦（国标三等）_GR,玉米（黄玉米二等）_GR,棉花（皮棉，白棉三级）_GR,生猪（外三元）_GR,大豆（黄豆）_GR,豆粕（粗蛋白含量≥43%）_GR,花生（油料花生米）_GR,尿素（小颗料）_GR,复合肥（硫酸钾复合肥）_GR,农药(草甘膦，95%原药）_GR,人造板（1220*2440*15mm）_GR,纸浆（漂白化学浆）_GR,瓦楞纸（高强）_GR,黑色金属GR,有色金属GR,化工产品GR,石油天然气GR,煤炭GR,非金属建材GR,农产品GR,农业生产资料GR,林产品GR,总增长率50,总增长率9
0,20140902,2898.5,2946.9,3215,3248.6,3914.6,3237,49471.9,14419.7,13820,16496.4,365.7,570.8,2509.6,8792.9,10871.4,11220.7,11645.7,6063.6,13917.1,10096.4,4575.3,5948.8,9501.4,8470.6,7379.8,8450,937.5,377.1,420,480,525,700,921,287.1,307.9,1269.2,4273.3,2578.7,2542.7,16786.7,14.8,4814.5,3502.5,7361.9,1672.5,2864,28250,51.8,4513.9,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20140903,2817,2883.7,3135,3187,3859,3186.9,48649,14064.3,13680.7,16529.9,360,585.3,2541.4,8607.1,11075,11004.9,11334.2,6051.4,14060,9692.9,4519.6,6091.1,9450,8450,7346.2,8399.1,937.5,380,423.6,480,525,700,921,285.8,306.1,1274.4,4265.7,2575,2479.5,15979.3,14.4,4738.6,3487.1,7347.6,1679.2,2864,27992.9,52.2,4506.7,2590,-0.028117992,-0.021446266,-0.024883359,-0.018962014,-0.014203239,-0.015477294,-0.016633685,-0.024646837,-0.010079595,0.002030746,-0.015586546,0.025402943,0.012671342,-0.021130685,0.018728039,-0.019232312,-0.02674807,-0.002012006,0.010267944,-0.03996474,-0.012174065,0.023920791,-0.005409729,-0.002431941,-0.004552969,-0.006023669,0,0.007690268,0.008571429,0,0,0,0,-0.004528039,-0.005846054,0.004097069,-0.001778485,-0.001434832,-0.024855469,-0.048097601,-0.027027027,-0.015764877,-0.004396859,-0.001942433,0.004005979,0,-0.009100885,0.007722008,-0.001595073,0,-0.020515027,-0.012332343,-0.005760409,-0.00111193,0.002710283,-0.001569256,-0.015662198,-0.001698302,0.002042312,-0.007019522,-0.005988541
2,20141001,2811.3,2890.1,3100.3,3164.1,3836.2,3168.6,48528.8,13882.7,13745.3,17000,353.3,591.8,2487.6,8433.3,11118.3,10973.2,11271.7,6046.7,14060,9250,4504.7,6115.5,9410,8440.3,7325,8270.4,937.5,380,425,480,525,700,921,290.7,311.8,1253.9,4249.2,2575,2389.8,14831,14.2,4663.3,3496.3,7688.9,1675.3,2864,27900,52.3,4505,2590,-0.002023429,0.002219371,-0.011068581,-0.007185441,-0.005908266,-0.005742257,-0.00247076,-0.012912125,0.004721981,0.028439373,-0.018611111,0.011105416,-0.021169434,-0.020192632,0.003909707,-0.002880535,-0.005514284,-0.00077668,0,-0.045693239,-0.003296752,0.004005845,-0.004232804,-0.001147929,-0.002885846,-0.01532307,0,0,0.003305005,0,0,0,0,0.017144857,0.018621366,-0.016086001,-0.003868064,0,-0.036176649,-0.071861721,-0.013888889,-0.015890769,0.002638295,0.046450542,-0.002322535,0,-0.003318699,0.001915709,-0.000377216,0,-0.004951434,0.004444617,-0.009982279,-0.003813426,0.000550834,0.004920055,-0.011574657,-0.001880411,0.000512831,-0.004166965,-0.002419319
3,20141002,2878,2957.6,3094.1,3170.1,3814.4,3162.2,48265.7,13668.5,13681.7,16795.7,340,596.6,2455.3,8179.2,10683.3,10850.9,11004.2,6043.3,13800,8750,4525.3,5845.8,9320.8,8424,7290.6,8265,937.5,386.7,435,486.7,531.7,700,921,290.7,311.8,1235.6,4245,2575.7,2343.6,14719,14.1,4460.3,3521.3,7752.8,1675,2864,27337.5,52.3,4506.5,2590,0.023725679,0.023355593,-0.001999806,0.001896274,-0.005682707,-0.002019819,-0.005421523,-0.015429275,-0.004627036,-0.012017647,-0.037645061,0.008110848,-0.012984403,-0.030130554,-0.039124686,-0.011145336,-0.023732001,-0.00056229,-0.018492176,-0.054054054,0.004573002,-0.044101055,-0.009479277,-0.001931211,-0.004696246,-0.000652931,0,0.017631579,0.023529412,0.013958333,0.012761905,0,0,0,0,-0.014594465,-0.000988421,0.000271845,-0.019332162,-0.00755175,-0.007042254,-0.043531405,0.007150416,0.008310682,-0.000179072,0,-0.02016129,0,0.000332963,0,0.006545869,-0.00937387,-0.021975971,-0.009381286,0.011313538,-0.003648616,-0.007839131,-0.006780121,0.000110988,-0.006074028,-0.004558734
4,20141003,2931,3007.8,3074.1,3153.8,3774.8,3148.8,48075.9,13667.6,13641.1,16813.7,333.9,602.3,2405.2,7863.9,10650,10818.8,10809.5,6026.1,13478.9,8777.8,4701.7,5600.6,9051.7,8288.1,7204,8150.3,940.8,394.4,437.2,494.4,536.7,700,921,298.7,315,1184.8,4235.4,2561.6,2296.5,14657.1,13.8,4448.8,3534.6,7738.9,1653.3,2864,26644.4,52.3,4511.5,2596.7,0.018415566,0.016973222,-0.006463915,-0.005141794,-0.010381711,-0.004237556,-0.003932399,-6.58E-05,-0.002967467,0.001071703,-0.017941176,0.00955414,-0.020404839,-0.038549002,-0.003117014,-0.00295828,-0.017693244,-0.002846127,-0.023268116,0.003177143,0.038980841,-0.041944644,-0.028870912,-0.016132479,-0.011878309,-0.013877798,0.00352,0.019912077,0.005057471,0.015820834,0.009403799,0,0,0.02751978,0.010262989,-0.041113629,-0.002261484,-0.00547424,-0.020097286,-0.004205449,-0.021276596,-0.002578302,0.003777014,-0.001792901,-0.012955224,0,-0.025353452,0,0.001109508,0.002586873,0.001527302,-0.001473502,-0.011404652,-0.012287217,0.008952364,-0.000832715,-0.006738655,-0.012769559,0.001232127,-0.004452765,-0.003754945
5,20141101,2950.9,3016.7,3047.4,3132.9,3759.1,3135.4,48145.4,13796.8,13525.8,16944,326.7,604.3,2331.1,7508.3,9866.7,10951.3,10921.3,6001.9,13293.3,8650,4781.8,5111.9,8852.5,8089.9,7050.2,7898.3,941.4,401.7,446.7,505,546.7,700,921,300.7,316.8,1174,4228.6,2556,2263.5,14603.6,13.8,4460.4,3568.3,7786.1,1611.1,2864,26000,52.1,4503.3,2600,0.006789492,0.002958973,-0.008685469,-0.006626926,-0.004159161,-0.004255589,0.001445631,0.009453013,-0.008452398,0.007749633,-0.021563342,0.003320604,-0.030808249,-0.045219293,-0.073549296,0.012247199,0.010342754,-0.004015864,-0.01376967,-0.014559457,0.017036391,-0.087258508,-0.022006916,-0.023913804,-0.02134925,-0.030919107,0.000637755,0.018509128,0.021729186,0.021440129,0.018632383,0,0,0.006695681,0.005714286,-0.009115463,-0.001605515,-0.002186134,-0.014369693,-0.003650108,0,0.002607445,0.009534318,0.006099058,-0.025524708,0,-0.024185195,-0.003824092,-0.001817577,0.001270844,-0.00232978,0.00254897,-0.017757461,-0.028068532,0.01349143,0.000823626,-0.000446329,-0.016569968,-0.001456942,-0.006463538,-0.005529443
6,20141102,2939.4,2999.7,3033,3126.3,3752.8,3129.9,48004.9,13657.4,13505,16980.8,336.9,600.8,2338.8,7212.5,9443.8,10882.7,10780.1,6017.5,12737,8687.5,4742.5,4998.1,8666.9,7947.3,6939.9,7890,944.2,405,450,511.3,550,700,922.5,300.3,318.5,1182.4,4227.9,2556,2263.1,14364.3,13.9,4461.8,3496.4,7968.8,1602.4,2864,24812.5,52.1,4484.6,2592.5,-0.003897116,-0.005635297,-0.00472534,-0.002106674,-0.001675933,-0.001754162,-0.002918243,-0.010103792,-0.001537802,0.00217186,0.031221304,-0.005791825,0.003303162,-0.039396401,-0.042861342,-0.006264096,-0.012928864,0.002599177,-0.041848149,0.00433526,-0.008218662,-0.022261781,-0.020965829,-0.017626918,-0.015644946,-0.001050859,0.002974294,0.008215086,0.007387508,0.012475248,0.006036217,0,0.001628664,-0.001330229,0.005366162,0.007155026,-0.000165539,0,-0.000176717,-0.01638637,0.007246377,0.000313873,-0.020149651,0.023464893,-0.005400037,0,-0.045673077,0,-0.00415251,-0.002884615,-0.003299087,-0.003096994,-0.010763178,-0.014294833,0.006181392,0.003204906,-0.000731642,-0.017024371,-0.002345709,-0.004792773,-0.004685502
7,20141103,2886.9,2956.3,3021,3122.2,3742.7,3113,47800.8,13701.8,13500,16999,344.2,599.1,2382.1,7041.7,9116.7,10692.8,10559,6017.2,12290,8883.3,4717.2,4912.7,8591.7,7821.7,6868,7778.3,944.2,405,450,515,550,700,924,299.3,320.9,1187.6,4225.6,2556,2258.1,13920.8,13.8,4454.6,3386.9,8166.7,1602.8,2864,24458.3,52.1,4491.8,2580,-0.017860788,-0.014468113,-0.003956479,-0.001311454,-0.002691324,-0.005399534,-0.004251649,0.003250985,-0.000370233,0.001071799,0.021668151,-0.002829561,0.018513768,-0.023681109,-0.034636481,-0.017449714,-0.020510014,-4.99E-05,-0.035094606,0.022538129,-0.005334739,-0.017086493,-0.008676689,-0.01580411,-0.01036038,-0.014157161,0,0,0,0.007236456,0,0,0.001626016,-0.003330003,0.007535322,0.004397835,-0.000544005,0,-0.002209359,-0.030875156,-0.007194245,-0.001613699,-0.031317927,0.024834354,0.000249626,0,-0.014275063,0,0.001605494,-0.004821601,-0.007614615,-7.48E-05,-0.007153129,-0.011903262,0.001206076,0.002557292,-0.006115005,-0.004675146,-0.001072035,-0.004752672,-0.003871622
8,20141201,2846.5,2924.8,3013.6,3137.3,3722,3101.8,46607.6,13437.9,13423.1,16774,350,580.3,2383.7,6325,7581.3,10063.6,10046.5,6020,11480,8568.8,4807.6,4209.6,8359.4,7655.6,6797,7632.5,950.4,412.5,456.9,523.1,557.5,700,924,300.2,316.3,1188.4,4225.6,2556,2256.8,13771,13.8,4407.3,3320.9,8185.4,1605.4,2864,23859.4,51.8,4476.3,2580,-0.01399425,-0.010655211,-0.00244952,0.004836333,-0.005530767,-0.003597816,-0.024961925,-0.019260243,-0.005696296,-0.013236073,0.016850668,-0.031380404,0.000671676,-0.1017794,-0.168416203,-0.058843334,-0.048536793,0.000465333,-0.065907242,-0.03540351,0.019163911,-0.143118855,-0.027037722,-0.021235793,-0.010337798,-0.018744456,0.006566405,0.018518519,0.015333333,0.015728155,0.013636364,0,0,0.003007016,-0.014334684,0.000673627,0,0,-0.000575705,-0.010760876,0,-0.010618237,-0.019486846,0.002289787,0.001622161,0,-0.024486575,-0.005758157,-0.003450732,0,-0.005231872,-0.015788634,-0.049227921,-0.033551786,0.011630463,-0.00266351,-0.004893985,-0.007621471,-0.00306963,-0.016004643,-0.012268705
9,20141202,2776.7,2864.2,3009.4,3132,3717.1,3078.3,46651.4,13316.6,13040,16578.6,350,564.2,2153.4,4878.6,6810.7,9404.4,9311.7,6015.2,10410,7850,5078,3348.3,8053.6,7323,6524.7,7625.4,952.5,417.1,455,527.9,560,700,924,297.6,311.3,1203.8,4221.9,2556,2252.5,13729.1,13.6,4355.5,3301.3,8204.8,1625.2,2864,23375,51.8,4468.2,2568.6,-0.024521342,-0.020719365,-0.001393682,-0.001689351,-0.001316497,-0.007576246,0.000939761,-0.009026708,-0.028540352,-0.011648981,0,-0.02774427,-0.096614507,-0.228679842,-0.101644837,-0.065503398,-0.073139899,-0.000797342,-0.093205575,-0.083885725,0.05624428,-0.204603763,-0.036581573,-0.043445321,-0.040061792,-0.000930233,0.002209596,0.011151515,-0.004158459,0.009176066,0.004484305,0,0,-0.008660893,-0.015807777,0.0129586,-0.000875615,0,-0.001905353,-0.003042626,-0.014492754,-0.011753228,-0.005902015,0.002370074,0.012333375,0,-0.020302271,0,-0.00180953,-0.004418605,-0.00953608,-0.01206907,-0.07712154,-0.0448964,0.003810504,-0.002877518,-0.00445019,-0.002656299,-0.002076045,-0.023690643,-0.016874737
