,yyyymmxx,"螺纹钢（Φ16-25mm,HRB400）","线材（Φ6.5mm,HPB300）","普通中板（20mm,Q235）","热轧普通薄板（3mm,Q235）","无缝钢管（219*6,20#）",角钢（5#）,电解铜（1#）,铝锭（A00）,铅锭（1#）,锌锭（0#）,硫酸（98%）,烧碱(液碱，32%),甲醇（优等品）,纯苯（石油苯，工业级）,苯乙烯（一级品）,聚乙烯（LLDPE，7042）,聚丙烯（T30S）,聚氯乙烯（SG5）,顺丁胶（BR9000）,涤纶长丝（FDY150D/96F）,液化天然气（LNG）,液化石油气（LPG）,汽油（97#）,汽油（93#）,柴油（0#）,石蜡（58#半）,无烟煤（2号洗中块）,普通混煤（4500大卡）,山西大混（5000大卡）,山西优混（5500大卡）,大同混煤（5800大卡）,焦煤（1/3焦煤）,焦炭（二级冶金焦）,复合硅酸盐水泥（P.C 32.5袋装）,普通硅酸盐水泥（P.O 42.5散装）,浮法平板玻璃（4.8/5mm）,稻米（粳稻米）,小麦（国标三等）,玉米（黄玉米二等）,棉花（皮棉，白棉三级）,生猪（外三元）,大豆（黄豆）,豆粕（粗蛋白含量≥43%）,花生（油料花生米）,尿素（小颗料）,复合肥（硫酸钾复合肥）,农药(草甘膦，95%原药）,人造板（1220*2440*15mm）,纸浆（漂白化学浆）,瓦楞纸（高强）,"螺纹钢（Φ16-25mm,HRB400）_m2m_GR","线材（Φ6.5mm,HPB300）_m2m_GR","普通中板（20mm,Q235）_m2m_GR","热轧普通薄板（3mm,Q235）_m2m_GR","无缝钢管（219*6,20#）_m2m_GR",角钢（5#）_m2m_GR,电解铜（1#）_m2m_GR,铝锭（A00）_m2m_GR,铅锭（1#）_m2m_GR,锌锭（0#）_m2m_GR,硫酸（98%）_m2m_GR,烧碱(液碱，32%)_m2m_GR,甲醇（优等品）_m2m_GR,纯苯（石油苯，工业级）_m2m_GR,苯乙烯（一级品）_m2m_GR,聚乙烯（LLDPE，7042）_m2m_GR,聚丙烯（T30S）_m2m_GR,聚氯乙烯（SG5）_m2m_GR,顺丁胶（BR9000）_m2m_GR,涤纶长丝（FDY150D/96F）_m2m_GR,液化天然气（LNG）_m2m_GR,液化石油气（LPG）_m2m_GR,汽油（97#）_m2m_GR,汽油（93#）_m2m_GR,柴油（0#）_m2m_GR,石蜡（58#半）_m2m_GR,无烟煤（2号洗中块）_m2m_GR,普通混煤（4500大卡）_m2m_GR,山西大混（5000大卡）_m2m_GR,山西优混（5500大卡）_m2m_GR,大同混煤（5800大卡）_m2m_GR,焦煤（1/3焦煤）_m2m_GR,焦炭（二级冶金焦）_m2m_GR,复合硅酸盐水泥（P.C 32.5袋装）_m2m_GR,普通硅酸盐水泥（P.O 42.5散装）_m2m_GR,浮法平板玻璃（4.8/5mm）_m2m_GR,稻米（粳稻米）_m2m_GR,小麦（国标三等）_m2m_GR,玉米（黄玉米二等）_m2m_GR,棉花（皮棉，白棉三级）_m2m_GR,生猪（外三元）_m2m_GR,大豆（黄豆）_m2m_GR,豆粕（粗蛋白含量≥43%）_m2m_GR,花生（油料花生米）_m2m_GR,尿素（小颗料）_m2m_GR,复合肥（硫酸钾复合肥）_m2m_GR,农药(草甘膦，95%原药）_m2m_GR,人造板（1220*2440*15mm）_m2m_GR,纸浆（漂白化学浆）_m2m_GR,瓦楞纸（高强）_m2m_GR,黑色金属GR,有色金属GR,化工产品GR,石油天然气GR,煤炭GR,非金属建材GR,农产品GR,农业生产资料GR,林产品GR,总增长率50,总增长率9
0,20140101.0,3456.6,3488.0,3517.9,3585.6,4399.1,3589.4,52113.1,14080.7,14079.3,15127.0,191.3,670.0,2895.3,9550.0,11998.1,11947.3,11843.2,6251.7,12902.5,10437.5,5412.9,6665.5,10100.0,9094.6,8264.1,8494.4,1142.5,480.6,575.0,625.6,650.6,960.0,1273.4,313.2,362.1,1476.2,4046.3,2547.8,2259.8,18710.7,14.2,4739.6,3871.1,6438.5,1737.2,2960.0,35375.0,53.8,4778.7,2792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20140902.0,2898.5,2946.9,3215.0,3248.6,3914.6,3237.0,49471.9,14419.7,13820.0,16496.4,365.7,570.8,2509.6,8792.9,10871.4,11220.7,11645.7,6063.6,13917.1,10096.4,4575.3,5948.8,9501.4,8470.6,7379.8,8450.0,937.5,377.1,420.0,480.0,525.0,700.0,921.0,287.1,307.9,1269.2,4273.3,2578.7,2542.7,16786.7,14.8,4814.5,3502.5,7361.9,1672.5,2864.0,28250.0,51.8,4513.9,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20140903.0,2817.0,2883.7,3135.0,3187.0,3859.0,3186.9,48649.0,14064.3,13680.7,16529.9,360.0,585.3,2541.4,8607.1,11075.0,11004.9,11334.2,6051.4,14060.0,9692.9,4519.6,6091.1,9450.0,8450.0,7346.2,8399.1,937.5,380.0,423.6,480.0,525.0,700.0,921.0,285.8,306.1,1274.4,4265.7,2575.0,2479.5,15979.3,14.4,4738.6,3487.1,7347.6,1679.2,2864.0,27992.9,52.2,4506.7,2590.0,-0.028117992064861097,-0.021446265567206302,-0.02488335925349927,-0.018962014406205707,-0.014203239155980207,-0.015477293790546742,-0.016633684980766894,-0.024646837312842895,-0.010079594790159185,0.0020307461021797923,-0.015586546349466768,0.025402943237561315,0.012671342046541412,-0.02113068498447601,0.018728038707066297,-0.019232311709608263,-0.026748070103128185,-0.0020120060690019814,0.010267943752649611,-0.039964739907293656,-0.012174065088628061,0.023920790747713916,-0.005409729092554771,-0.0024319410667485997,-0.004552968915146782,-0.006023668639053237,0.0,0.007690267833465825,0.008571428571428674,0.0,0.0,0.0,0.0,-0.00452803901079768,-0.005846053913608151,0.00409706901985496,-0.0017784850115836193,-0.0014348315042462811,-0.024855468596373886,-0.048097601077043195,-0.027027027027027084,-0.015764876934260985,-0.004396859386152752,-0.001942433339219396,0.004005979073243626,0.0,-0.00910088495575212,0.007722007722007929,-0.0015950729967433297,0.0,-0.020515027373049888,-0.012332342745397296,-0.005760409137915623,-0.0011119303424029225,0.002710282734149083,-0.0015692559761377178,-0.0156621978594884,-0.0016983019608361645,0.0020423115750881995,-0.007019521803725395,-0.005988541231776748
3,20141001.0,2811.3,2890.1,3100.3,3164.1,3836.2,3168.6,48528.8,13882.7,13745.3,17000.0,353.3,591.8,2487.6,8433.3,11118.3,10973.2,11271.7,6046.7,14060.0,9250.0,4504.7,6115.5,9410.0,8440.3,7325.0,8270.4,937.5,380.0,425.0,480.0,525.0,700.0,921.0,290.7,311.8,1253.9,4249.2,2575.0,2389.8,14831.0,14.2,4663.3,3496.3,7688.9,1675.3,2864.0,27900.0,52.3,4505.0,2590.0,-0.002023429179978664,0.0022193709470472722,-0.011068580542264672,-0.007185440853467284,-0.005908266390256545,-0.0057422573660924625,-0.0024707599334004016,-0.012912125025774324,0.004721980600407738,0.028439373498932108,-0.018611111111111134,0.011105416025969594,-0.021169434170142498,-0.020192631664556093,0.003909706546275427,-0.002880535034393672,-0.005514284201796338,-0.00077667977658058,0.0,-0.045693239381402795,-0.0032967519249492705,0.004005844592930519,-0.004232804232804255,-0.0011479289940828918,-0.0028858457433774687,-0.01532307032896385,0.0,0.0,0.003305004721435356,0.0,0.0,0.0,0.0,0.01714485654303699,0.018621365566808157,-0.016086001255492755,-0.0038680638582179183,0.0,-0.0361766485178463,-0.07186172110167521,-0.01388888888888895,-0.015890769425568774,0.0026382954317341056,0.04645054167347151,-0.002322534540257326,0.0,-0.0033186986700199927,0.0019157088122603305,-0.0003772161448509781,0.0,-0.0049514338975020595,0.00444461728504128,-0.009982279276773809,-0.0038134261052078697,0.0005508341202392261,0.004920055213588098,-0.011574656835873942,-0.0018804110700924397,0.0005128308891364508,-0.004166965065958086,-0.002419318853049452
4,20141002.0,2878.0,2957.6,3094.1,3170.1,3814.4,3162.2,48265.7,13668.5,13681.7,16795.7,340.0,596.6,2455.3,8179.2,10683.3,10850.9,11004.2,6043.3,13800.0,8750.0,4525.3,5845.8,9320.8,8424.0,7290.6,8265.0,937.5,386.7,435.0,486.7,531.7,700.0,921.0,290.7,311.8,1235.6,4245.0,2575.7,2343.6,14719.0,14.1,4460.3,3521.3,7752.8,1675.0,2864.0,27337.5,52.3,4506.5,2590.0,0.023725678511720583,0.02335559323206815,-0.001999806470341703,0.001896273821939909,-0.005682706845315577,-0.002019819478634166,-0.005421522889500818,-0.015429275285067101,-0.00462703615053861,-0.012017647058823466,-0.037645060854797685,0.008110848259547332,-0.012984402637079784,-0.030130553875706956,-0.03912468632794586,-0.011145335909306442,-0.023732001383997114,-0.0005622901748060238,-0.01849217638691325,-0.05405405405405406,0.004573001531733567,-0.04410105469708114,-0.009479277364505934,-0.001931210975913089,-0.004696245733788351,-0.0006529309344166512,0.0,0.017631578947368443,0.0235294117647058,0.013958333333333295,0.012761904761904752,0.0,0.0,0.0,0.0,-0.014594465268362833,-0.0009884213499010697,0.00027184466019414266,-0.019332161687170557,-0.007551749713438083,-0.007042253521126751,-0.0435314047991765,0.007150416154220185,0.008310681631963135,-0.00017907240494241528,0.0,-0.020161290322580627,0.0,0.00033296337402877185,0.0,0.006545868795239533,-0.009373870345982499,-0.021975971334505982,-0.0093812863623286,0.011313538134552048,-0.003648616317090708,-0.007839131078054437,-0.0067801209091743475,0.00011098779134292396,-0.006074027691410091,-0.00455873351400023
5,20141003.0,2931.0,3007.8,3074.1,3153.8,3774.8,3148.8,48075.9,13667.6,13641.1,16813.7,333.9,602.3,2405.2,7863.9,10650.0,10818.8,10809.5,6026.1,13478.9,8777.8,4701.7,5600.6,9051.7,8288.1,7204.0,8150.3,940.8,394.4,437.2,494.4,536.7,700.0,921.0,298.7,315.0,1184.8,4235.4,2561.6,2296.5,14657.1,13.8,4448.8,3534.6,7738.9,1653.3,2864.0,26644.4,52.3,4511.5,2596.7,0.018415566365531655,0.01697322153097125,-0.006463915193432701,-0.005141793634270142,-0.010381711409395922,-0.004237556131806874,-0.003932399198602665,-6.584482569405026e-05,-0.002967467493074749,0.001071702876331404,-0.01794117647058835,0.009554140127388422,-0.02040483851260555,-0.03854900234741787,-0.003117014405661145,-0.002958279958344523,-0.017693244397593677,-0.0028461271159796464,-0.023268115942029044,0.0031771428571427673,0.03898084104921207,-0.04194464401792741,-0.02887091236803696,-0.016132478632478575,-0.011878309055496139,-0.013877797943133707,0.0035199999999999676,0.0199120765451255,0.005057471264367841,0.015820834189439026,0.009403799134850566,0.0,0.0,0.027519779841761238,0.010262989095574104,-0.04111362900615079,-0.002261484098940003,-0.005474240012423803,-0.020097286226318456,-0.004205448739724171,-0.02127659574468077,-0.002578301907943392,0.003777014170902815,-0.0017929006294500338,-0.012955223880597,0.0,-0.02535345221764973,0.0,0.0011095084877399408,0.002586872586872513,0.001527301921266211,-0.0014735021602600151,-0.011404651616568862,-0.012287216827976788,0.00895236352229715,-0.0008327150172038611,-0.006738655398572227,-0.012769558699415576,0.0012321270248708178,-0.004452764627884735,-0.003754945250173683
6,20141101.0,2950.9,3016.7,3047.4,3132.9,3759.1,3135.4,48145.4,13796.8,13525.8,16944.0,326.7,604.3,2331.1,7508.3,9866.7,10951.3,10921.3,6001.9,13293.3,8650.0,4781.8,5111.9,8852.5,8089.9,7050.2,7898.3,941.4,401.7,446.7,505.0,546.7,700.0,921.0,300.7,316.8,1174.0,4228.6,2556.0,2263.5,14603.6,13.8,4460.4,3568.3,7786.1,1611.1,2864.0,26000.0,52.1,4503.3,2600.0,0.006789491641078227,0.0029589733359929316,-0.00868546891773192,-0.006626926247701226,-0.0041591607502384775,-0.004255589430894324,0.0014456307630226206,0.009453012964968144,-0.00845239753392335,0.007749632739967982,-0.02156334231805923,0.003320604349991596,-0.030808248794279014,-0.04521929322600737,-0.07354929577464786,0.01224719931970264,0.010342754058929593,-0.004015864323526075,-0.013769669631794934,-0.014559456811501614,0.017036391092583703,-0.0872585080169983,-0.0220069158279661,-0.023913804128811278,-0.021349250416435317,-0.03091910727212499,0.0006377551020408934,0.018509127789046786,0.021729185727355826,0.021440129449838308,0.018632383081796267,0.0,0.0,0.006695681285570743,0.005714285714285783,-0.009115462525320694,-0.001605515417669956,-0.0021861336664584785,-0.014369693011103801,-0.0036501081387178003,0.0,0.002607444704189721,0.009534317886040977,0.0060990580056599075,-0.025524708159438747,0.0,-0.024185194637522334,-0.003824091778202643,-0.001817577302449247,0.0012708437632380498,-0.002329780061582465,0.002548969733508849,-0.017757461315119228,-0.028068532428292048,0.01349143019167968,0.0008236261186339577,-0.0004463287047574288,-0.016569967598987028,-0.00145694177247128,-0.006463537625684488,-0.005529442870820776
7,20141102.0,2939.4,2999.7,3033.0,3126.3,3752.8,3129.9,48004.9,13657.4,13505.0,16980.8,336.9,600.8,2338.8,7212.5,9443.8,10882.7,10780.1,6017.5,12737.0,8687.5,4742.5,4998.1,8666.9,7947.3,6939.9,7890.0,944.2,405.0,450.0,511.3,550.0,700.0,922.5,300.3,318.5,1182.4,4227.9,2556.0,2263.1,14364.3,13.9,4461.8,3496.4,7968.8,1602.4,2864.0,24812.5,52.1,4484.6,2592.5,-0.0038971161340607408,-0.005635296847548599,-0.004725339633786185,-0.002106674327300606,-0.0016759330690856444,-0.0017541621483702086,-0.0029182434874359675,-0.010103792183694726,-0.0015378018305756136,0.002171860245514523,0.031221303948576695,-0.005791825252358107,0.0033031615975291917,-0.03939640131587707,-0.042861341684656606,-0.006264096499958738,-0.012928863779952837,0.002599176927306379,-0.04184814906757539,0.004335260115607031,-0.008218662428374324,-0.022261781333750563,-0.020965828861903457,-0.01762691751443146,-0.015644946242659774,-0.0010508590456174138,0.0029742936052687963,0.00821508588498876,0.007387508394895992,0.012475247524752486,0.006036217303822866,0.0,0.0016286644951140072,-0.0013302294645826107,0.005366161616161547,0.007155025553662764,-0.0001655394220311246,0.0,-0.0001767174729401244,-0.016386370483990276,0.007246376811594235,0.00031387319522924173,-0.020149651094358734,0.02346489256495543,-0.005400037241636069,0.0,-0.04567307692307687,0.0,-0.004152510381275953,-0.0028846153846153744,-0.003299087026691997,-0.003096994314047946,-0.010763177501135946,-0.014294832571122832,0.0061813921189548164,0.0032049055500889267,-0.0007316419876926689,-0.017024371388237647,-0.0023457085886304427,-0.004792773415450024,-0.004685501745390638
8,20141103.0,2886.9,2956.3,3021.0,3122.2,3742.7,3113.0,47800.8,13701.8,13500.0,16999.0,344.2,599.1,2382.1,7041.7,9116.7,10692.8,10559.0,6017.2,12290.0,8883.3,4717.2,4912.7,8591.7,7821.7,6868.0,7778.3,944.2,405.0,450.0,515.0,550.0,700.0,924.0,299.3,320.9,1187.6,4225.6,2556.0,2258.1,13920.8,13.8,4454.6,3386.9,8166.7,1602.8,2864.0,24458.3,52.1,4491.8,2580.0,-0.017860787915901177,-0.014468113478014355,-0.003956478733926794,-0.0013114544349551727,-0.002691323811554125,-0.005399533531422751,-0.004251649310799466,0.0032509848140933606,-0.0003702332469456282,0.0010717987373976001,0.021668150786583684,-0.002829560585885349,0.018513767744142262,-0.023681109185441973,-0.034636481077532144,-0.017449713765885444,-0.020510013821764206,-4.98545907768877e-05,-0.03509460626521155,0.02253812949640288,-0.0053347390616763635,-0.017086492867289693,-0.00867668947374478,-0.015804109571804337,-0.010360379832562328,-0.014157160963244597,0.0,0.0,0.0,0.0072364560923137144,0.0,0.0,0.001626016260162677,-0.0033300033300033283,0.007535321821036112,0.0043978349120430416,-0.0005440052981383614,0.0,-0.0022093588440634804,-0.03087515576811961,-0.007194244604316502,-0.0016136985073288423,-0.03131792701063951,0.024834353980524027,0.00024962556165752936,0.0,-0.014275062972292196,0.0,0.0016054943584711268,-0.004821600771456103,-0.007614615317629063,-7.47747515635333e-05,-0.007153129126536872,-0.01190326196172035,0.0012060760153856191,0.0025572924158096255,-0.006115004506510285,-0.004675145803544889,-0.001072035470994992,-0.004752672161357381,-0.003871622056367194
9,20141201.0,2846.5,2924.8,3013.6,3137.3,3722.0,3101.8,46607.6,13437.9,13423.1,16774.0,350.0,580.3,2383.7,6325.0,7581.3,10063.6,10046.5,6020.0,11480.0,8568.8,4807.6,4209.6,8359.4,7655.6,6797.0,7632.5,950.4,412.5,456.9,523.1,557.5,700.0,924.0,300.2,316.3,1188.4,4225.6,2556.0,2256.8,13771.0,13.8,4407.3,3320.9,8185.4,1605.4,2864.0,23859.4,51.8,4476.3,2580.0,-0.013994249887422483,-0.010655210905523793,-0.0024495200264813555,0.004836333354685918,-0.005530766558901279,-0.0035978156119498284,-0.02496192532342567,-0.019260243179728187,-0.00569629629629631,-0.013236072710159474,0.01685066821615333,-0.03138040393924235,0.0006716762520464492,-0.10177939986082907,-0.16841620323143247,-0.058843333832111266,-0.04853679325693716,0.00046533271288984324,-0.06590724165988604,-0.03540350995688535,0.019163910794539163,-0.1431188552120014,-0.027037722453065238,-0.021235792730480485,-0.010337798485730909,-0.01874445572940109,0.006566405422579802,0.0185185185185186,0.015333333333333199,0.01572815533980587,0.013636363636363669,0.0,0.0,0.003007016371533444,-0.014334683702087792,0.000673627484001571,0.0,0.0,-0.0005757052389175898,-0.010760875811734905,0.0,-0.010618237327706281,-0.019486846378694356,0.0022897865722997235,0.001622161217868845,0.0,-0.024486575109471942,-0.0057581573896353655,-0.0034507324457900834,0.0,-0.005231871605932137,-0.01578863437740241,-0.04922792085562341,-0.033551785636023325,0.011630462708433523,-0.002663509961638194,-0.004893984773094176,-0.007621471297201032,-0.0030696299451418163,-0.0160046427005062,-0.012268705082624775
