,index,corr,g,m,total
0,"螺纹钢（Φ16-25mm,HRB400）_fixed_GR",0.9858294375054619,0.9597615240683479,0.8899275146652771,0.9451728254130289
1,"线材（Φ6.5mm,HPB300）_fixed_GR",1.0,1.0000000000000002,1.0,1.0
2,"普通中板（20mm,Q235）_fixed_GR",0.877484136828616,0.71051558602567,0.5801967013208641,0.7227321413917167
3,"热轧普通薄板（3mm,Q235）_fixed_GR",0.8849486684204172,0.7700958572462231,0.7437207272954066,0.7995884176540157
4,"无缝钢管（219*6,20#）_fixed_GR",0.8559495308069086,0.7496099793898059,0.6944306347234505,0.766663381640055
5,角钢（5#）_fixed_GR,0.9439035810317599,0.8706945197514753,0.8714808830645665,0.8953596612826006
6,电解铜（1#）_fixed_GR,0.6347520328557221,0.6410149525971478,0.5342622270114953,0.6033430708214551
7,铝锭（A00）_fixed_GR,0.6388863645830276,0.5186569644405215,0.0,0.385847776341183
8,铅锭（1#）_fixed_GR,0.584568161551728,0.5092213448641474,0.3460936839895038,0.4799610634684597
9,锌锭（0#）_fixed_GR,0.5655971619855815,0.5867453206440862,0.46313010891380235,0.5384908638478234
10,硫酸（98%）_fixed_GR,0.6423669482805587,0.6200798806732333,0.6259289733931966,0.6294586007823296
11,烧碱(液碱，32%)_fixed_GR,0.3923224780978017,0.4502718479587562,0.09019806806628561,0.3109307980409478
12,甲醇（优等品）_fixed_GR,0.90212401949677,0.7801740933965144,0.5208370893152442,0.7343784007361762
13,纯苯（石油苯，工业级）_fixed_GR,0.7943219857474006,0.6896909677367609,0.332250605990024,0.6054211864913951
14,苯乙烯（一级品）_fixed_GR,0.6978091663730857,0.6168357052774953,0.15241386973370552,0.48901958046142885
15,聚乙烯（LLDPE，7042）_fixed_GR,0.7200829283753225,0.5928620949011496,0.25536025931180373,0.5227684275294253
16,聚丙烯（T30S）_fixed_GR,0.9185208324399476,0.8583141006141617,0.7221678541344129,0.8330009290628407
17,聚氯乙烯（SG5）_fixed_GR,0.5898336103712396,0.5613289074761993,0.09632002424343289,0.41582751403029067
18,顺丁胶（BR9000）_fixed_GR,0.8660597659267335,0.7283182880042445,0.41530896769875636,0.6698956738765781
19,涤纶长丝（FDY150D/96F）_fixed_GR,0.9226906950852637,0.8572842830727725,0.692821114837456,0.8242653643318306
20,液化天然气（LNG）_fixed_GR,0.5397055704426715,0.5170594131328754,0.3590449302727826,0.47193663794944324
21,液化石油气（LPG）_fixed_GR,0.9914922141903854,0.9571074224495713,0.7674476043097095,0.9053490803165554
22,汽油（97#）_fixed_GR,0.9448406480404128,0.8881220113522243,0.7421141316168237,0.8583589303364869
23,汽油（93#）_fixed_GR,0.9467806478033906,0.8859289113893827,0.7700708677842102,0.8675934756589946
24,柴油（0#）_fixed_GR,0.9608970498107992,0.8479795778341426,0.7644393232511467,0.8577719836320296
25,石蜡（58#半）_fixed_GR,0.5177239950338115,0.40374262160825025,0.43010035597104446,0.4505223242043687
26,无烟煤（2号洗中块）_fixed_GR,0.2663176676236288,0.28683491807801675,0.47726154450023917,0.3434713767339616
27,普通混煤（4500大卡）_fixed_GR,0.6300117219309355,0.5780415560954857,0.14944271293733868,0.4524986636545865
28,山西大混（5000大卡）_fixed_GR,0.49567793339688,0.4387305522593319,0.35629538163236696,0.4302346224295263
29,山西优混（5500大卡）_fixed_GR,0.40254295917116667,0.294403444938969,0.25085917956822257,0.31593519455945274
30,大同混煤（5800大卡）_fixed_GR,0.6762331254323044,0.49879199280678477,0.018336864805308606,0.3977873276814659
31,焦煤（1/3焦煤）_fixed_GR,0.5774459022317615,0.5412631514645427,0.4801037029387999,0.5329375855450347
32,焦炭（二级冶金焦）_fixed_GR,0.6864912218019157,0.6425765167103583,0.3336645455890458,0.55424409470044
33,复合硅酸盐水泥（P.C 32.5袋装）_fixed_GR,0.508900121607691,0.5987072190791982,0.08086046641211098,0.39615593569966673
34,普通硅酸盐水泥（P.O 42.5散装）_fixed_GR,0.5296452492984489,0.5696352526567725,0.2894955410193908,0.4629253476582041
35,浮法平板玻璃（4.8/5mm）_fixed_GR,0.0,0.0,0.2739234696580978,0.09130782321936592
36,稻米（粳稻米）_fixed_GR,0.142844677915893,0.3036331881497978,0.12850151254016962,0.19165979286862012
37,小麦（国标三等）_fixed_GR,0.414528228367627,0.3488237386378372,0.09935742287825633,0.2875697966279069
38,玉米（黄玉米二等）_fixed_GR,0.26930701072962526,0.2538592937486832,0.17215002249352274,0.2317721089906104
39,棉花（皮棉，白棉三级）_fixed_GR,0.5203685003784414,0.4123639420323111,0.6311718562343053,0.521301432881686
40,生猪（外三元）_fixed_GR,0.838328849256422,0.6679091335023879,0.6432005227144827,0.7164795018244309
41,大豆（黄豆）_fixed_GR,0.37617203049786857,0.380184566192711,0.1289304419210322,0.29509567953720395
42,豆粕（粗蛋白含量≥43%）_fixed_GR,0.6868173100978634,0.5638613173311129,0.10418849650962447,0.45162237464620025
43,花生（油料花生米）_fixed_GR,0.57790808546361,0.3923458233271797,0.4977976773051772,0.48935052869865564
44,尿素（小颗料）_fixed_GR,0.8493791671964017,0.7123725090496966,0.43105488513134393,0.6642688537924807
45,复合肥（硫酸钾复合肥）_fixed_GR,0.5984182888524421,0.6001554024855771,0.5222012459662334,0.5735916457680842
46,农药(草甘膦，95%原药）_fixed_GR,0.936324502183488,0.7741893307647094,0.7452978238707285,0.8186038856063086
47,纸浆（漂白化学浆）_fixed_GR,0.7674389201224058,0.7112259524717046,0.21514565113137485,0.5646035079084951
48,瓦楞纸（高强）_fixed_GR,0.7251486427323496,0.6875568083745314,0.6553347196806668,0.6893467235958494
